"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";98,38;90,57;94,87;95,55;110,82;109,25;108,00;108,61;0,03;109,72;87,45;85,11;89,02;81,79;105,52;84,00;78,61;109,28;2,50;80,35;31,71;32,67;90,97
"12 Acre";95,75;81,11;75,98;78,66;73,54;72,57;84,57;73,88;2,20;62,74;69,47;69,32;74,17;64,93;79,76;60,55;55,66;72,62;4,35;62,22;14,19;15,92;68,02
"13 Amazonas";93,81;85,42;74,27;81,21;78,27;75,82;86,40;76,30;0,23;70,35;79,94;78,37;82,04;67,91;84,59;65,40;63,07;75,83;3,18;66,42;49,46;58,11;75,30
"14 Roraima";116,86;114,02;89,75;87,35;91,46;90,53;96,87;87,52;0,43;87,12;90,29;89,34;86,40;92,01;89,13;89,26;87,25;90,71;4,90;84,07;53,23;62,40;85,22
"15 Pará";84,67;74,00;64,75;71,14;62,24;61,02;76,10;67,18;0,04;58,66;67,50;63,91;68,41;56,90;70,90;57,37;54,21;61,04;3,15;59,28;19,59;21,22;62,06
"16 Amapá";97,17;86,04;71,75;72,15;63,60;60,94;73,78;63,88;10,81;62,34;69,18;66,98;70,71;30,53;77,87;64,85;60,89;60,94;4,31;56,19;21,57;20,28;65,02
"17 Tocantins";105,14;91,53;89,01;89,94;86,78;85,80;93,10;85,93;0,03;73,18;87,84;82,67;88,29;81,51;89,24;78,59;65,46;85,83;2,31;80,58;35,06;54,45;86,43
"21 Maranhão";98,67;87,51;70,61;76,28;75,17;72,22;82,04;72,80;2,46;63,23;72,03;70,43;73,84;64,44;81,41;54,37;21,14;72,31;3,31;61,37;31,29;37,83;66,27
"22 Piauí";96,09;89,97;76,85;80,81;78,44;75,49;84,60;77,67;0,45;69,77;80,06;78,31;81,11;76,56;82,55;60,27;18,69;75,55;2,45;72,45;31,14;38,07;71,92
"23 Ceará";108,49;98,46;102,11;103,07;98,66;96,01;108,37;96,57;1,02;0,57;96,40;94,13;95,39;90,78;105,23;82,89;36,01;96,15;2,32;88,00;69,47;65,18;83,46
"24 Rio Grande do Norte";66,48;60,24;68,99;70,95;70,30;68,55;76,14;69,04;0,42;0,37;66,93;69,03;69,19;65,57;81,78;54,33;19,12;68,68;4,05;61,97;27,65;26,92;59,24
"25 Paraíba";102,56;84,10;84,61;85,17;83,29;82,12;90,81;82,07;0,76;0,89;88,06;78,16;77,18;75,43;96,74;71,86;24,06;82,21;2,42;73,31;37,03;34,11;71,71
"26 Pernambuco";97,30;86,37;83,08;85,31;87,64;85,69;91,41;84,38;0,76;0,70;85,73;81,75;82,94;80,56;101,28;71,21;30,63;85,90;3,45;78,98;49,55;51,30;72,96
"27 Alagoas";110,27;90,62;84,41;88,92;82,62;81,06;91,68;82,65;1,22;0,80;91,58;85,74;84,20;85,41;104,01;71,21;31,30;81,22;3,89;82,70;53,41;49,56;73,46
"28 Sergipe";97,86;93,94;81,75;83,41;80,47;80,08;87,14;79,04;0,18;0,33;80,90;80,19;81,91;75,20;89,26;74,18;24,98;80,17;3,16;73,99;28,85;29,44;70,79
"29 Bahia";86,19;75,47;74,70;80,99;78,43;75,95;84,61;77,27;0,20;72,08;76,49;71,50;76,84;67,57;83,27;62,92;22,62;76,00;2,77;68,40;21,61;27,64;69,29
"31 Minas Gerais";93,60;80,60;88,58;89,16;90,67;86,74;92,05;86,50;0,11;81,65;90,22;83,89;86,47;84,72;93,59;85,68;18,30;86,77;2,13;79,42;22,94;37,02;86,54
"32 Espírito Santo";90,46;82,06;83,18;81,38;84,23;80,36;88,10;81,32;0,66;61,33;76,69;78,70;79,36;77,19;87,38;72,40;15,93;80,58;2,64;71,55;49,70;63,25;75,13
"33 Rio de Janeiro";114,98;94,32;83,36;91,13;94,87;93,64;97,18;88,92;0,25;26,19;89,42;84,50;82,82;81,20;98,90;71,04;19,67;93,90;3,51;78,96;50,66;66,32;76,43
"35 São Paulo";100,51;91,37;90,16;89,28;89,43;86,67;95,24;87,21;0,94;23,46;80,29;78,32;81,35;81,56;91,26;87,14;21,48;87,33;2,38;76,84;28,59;35,90;76,48
"41 Paraná";95,73;74,95;89,07;91,59;95,15;89,94;94,33;89,73;0,26;68,95;90,27;85,47;87,81;81,33;91,84;88,20;73,50;90,10;2,18;65,70;35,23;56,55;84,68
"42 Santa Catarina";85,25;77,97;92,50;96,25;87,66;84,66;89,74;90,64;0,27;28,75;83,98;82,05;87,69;85,90;93,90;83,25;69,66;84,75;1,98;79,34;32,35;39,83;81,54
