"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";29180;28059;27326;28017;28126;28027;27548;28654;27351;17850;24242;25231;24589;38939;29885;29900;28052;1449;25270;16252;2349;516296
"12 Acre";17448;5449;11082;11301;10878;10815;10160;12585;9806;1921;7840;7958;10371;16548;10278;9892;10905;1110;10055;5210;323;191935
"13 Amazonas";93158;76567;64424;68027;69680;69416;60589;76499;71543;34142;59552;61977;62578;88491;65396;65652;69479;4991;62855;38004;5414;1268434
"14 Roraima";11020;7758;9187;9130;9266;9189;8598;9490;9209;5610;8630;8265;8685;11676;9504;9521;9227;690;8775;4459;787;168676
"15 Pará";158187;129643;113321;114896;115348;114642;96904;116248;97027;33218;93445;93712;95275;159472;90049;79526;114764;7011;94647;47268;5206;1969809
"16 Amapá";17685;13630;11514;12198;11642;11618;10090;12007;10578;5659;9807;9557;10882;16849;12633;12055;11633;837;10141;6611;380;218006
"17 Tocantins";25122;20556;22416;22861;23026;22908;22108;22076;21140;13349;20351;19936;19571;25742;21814;20055;22931;613;21475;9044;1253;398347
"21 Maranhão";125450;108960;101794;102416;104501;103410;94413;108354;102635;50443;85575;86711;93763;143661;103525;101362;103716;8729;92218;57379;9364;1888379
"22 Piauí";46278;42803;39440;40537;39765;39580;39235;39259;36683;25354;37064;37202;35727;44647;35252;29727;39706;1380;36578;16313;2466;704996
"23 Ceará";136252;109292;123677;126430;126333;125492;124791;131838;292;73373;122088;121656;127735;178484;162815;162320;125875;4882;122634;76993;12451;2295703
"24 Rio Grande do Norte";50815;42038;41459;42966;42257;42016;40253;44934;143;19346;39038;39940;40436;51807;42808;43168;42258;2932;38895;23925;4276;735710
"25 Paraíba";63525;51972;52492;52356;53071;52890;51064;56993;280;23934;46985;44901;50585;68318;49363;43959;52983;2210;47202;21521;4407;891011
"26 Pernambuco";153453;112092;137392;138780;143919;139159;133707;143739;482;77709;124729;128478;126216;153334;131231;128829;139345;8829;120880;85477;22669;2350449
"27 Alagoas";56718;45466;45132;49220;48117;47371;46104;48992;210;27788;44419;40395;44809;59405;47587;47354;47477;4511;45163;26839;4864;827941
"28 Sergipe";34029;42768;32370;31556;32203;32067;31804;32147;35;20493;31826;31460;31363;32280;27900;26352;32196;937;31182;17205;2285;554458
"29 Bahia";212667;165926;181452;191631;194043;192740;184594;197115;179914;129822;176989;180408;178933;241164;192179;186460;193408;12510;183871;104748;23752;3504326
"31 Minas Gerais";262014;228716;256089;258808;257308;256549;254373;250745;218756;172061;245234;240054;234803;283759;227900;203689;257355;7986;238400;87312;19455;4461366
"32 Espírito Santo";55743;47351;51990;53576;53571;52804;52620;53483;232;43840;49964;49307;48427;57811;51574;52007;53362;1942;48581;28190;8273;914648
"33 Rio de Janeiro";252465;187683;208286;219692;211395;210177;197732;224814;2255;136490;189028;189420;185244;250650;214926;215521;210832;13300;183653;88071;16409;3608043
"35 São Paulo";637903;566209;578655;600305;614005;588613;620505;590235;120629;418306;564214;584689;548203;647565;591245;604720;597120;8446;550164;263922;76328;10371981
"41 Paraná";166218;117615;151911;156026;153025;152516;153520;152038;116017;94778;145999;143495;128160;174494;143301;135800;153247;5747;131819;56604;7336;2639666
"42 Santa Catarina";95802;82004;88665;91767;89108;87342;88959;86254;25399;69442;87603;89973;78466;99601;82893;82697;88250;3172;81474;36952;10370;1546193
"43 Rio Grande do Sul";146024;112598;130311;136080;133374;131729;131145;132583;76460;88773;117553;118384;111431;149696;125214;113682;132718;8219;111666;38864;6980;2253484
"50 Mato Grosso do Sul";54796;45158;54035;55105;54545;54152;53175;54960;48747;32174;50922;48998;47545;60731;48617;43782;54779;2112;47975;22187;4874;939369
"51 Mato Grosso";57293;53433;50105;51426;52909;52008;48947;52520;55642;30069;46386;47308;45403;61842;51618;51005;52088;2014;45175;27966;4861;940018
"52 Goiás";107674;73095;89772;91126;88303;87528;86827;91043;85507;64499;82010;81734;81674;113883;86006;80176;88189;5451;79755;27754;5985;1597991
"53 Distrito Federal";49377;54894;39949;42652;41079;40279;44545;41037;39371;36090;39934;37877;36039;45634;42318;40610;41425;2509;37961;28457;8318;790355
"Total";3116296;2571735;2714246;2798885;2800797;2755037;2714310;2810642;1356343;1746533;2551427;2569026;2506913;3276483;2697831;2619821;2773320;124519;2508464;1263527;271435;48547590
