"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"103 Dupla Adulto (dt)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";24805;24267;25652;26528;26870;26529;27399;27046;2;23879;21912;23143;23879;19823;27117;21106;14275;26553;1127;73143;18928;12836;16474;533293
"12 Acre";15839;14836;12926;11899;11003;10962;14016;12207;-;10468;11976;11474;10570;9188;13051;11337;9317;10979;822;26056;9905;7208;9854;255893
"13 Amazonas";74056;69054;61042;60444;60794;60278;68492;60189;90;53391;59702;59591;58451;51127;68790;59542;44657;60366;3709;193796;52651;43307;54128;1377647
"14 Roraima";15138;14576;10465;9665;9910;9609;10950;9089;24;8389;10043;9146;9449;9549;11662;10070;8188;9636;1453;28239;8956;4577;6994;225777
"15 Pará";115103;102661;97161;88535;79467;78662;106786;93892;10;85682;91446;86319;80208;69198;104718;80684;64751;78731;5260;199063;72060;58680;74955;1914032
"16 Amapá";15924;14214;11861;10565;10040;9776;12149;10650;-;10150;10574;9832;9617;6008;11946;9901;7930;9794;848;25547;8078;7556;8861;231821
"17 Tocantins";24429;23647;22049;18872;22057;21313;23771;21697;1;19233;19933;19960;17365;17762;21574;18645;15577;21346;523;54751;16932;11516;17651;450604
"21 Maranhão";111062;100331;90050;84790;88885;87662;96923;87577;41;78831;77046;79326;76363;64383;91222;61942;16607;87736;5159;172435;67650;48999;69507;1744527
"22 Piauí";45806;42908;39729;39227;41892;40060;41243;39008;3;35929;35634;36954;36535;26863;40823;31978;1173;40140;1171;74881;30879;23847;31709;778392
"23 Ceará";130356;120461;142814;141666;142932;133038;147779;137195;298;1092;117069;122900;125601;107807;138993;108991;14556;133116;4470;211487;96681;93925;103182;2476409
"24 Rio Grande do Norte";48468;45638;38603;37857;41219;40258;42440;40645;64;278;34858;35666;33579;29208;39937;28982;5312;40292;1976;75907;28717;21788;28175;739867
"25 Paraíba";58849;55417;53440;52772;53581;50984;55983;51344;40;462;46176;42528;42288;39091;53711;40036;4544;51041;1992;76693;34234;28182;35708;929096
"26 Pernambuco";138755;130580;123562;122763;128583;122813;131563;122928;154;1335;107729;111137;110958;98609;136547;90834;14172;122961;5571;212289;94100;76918;89100;2293961
"27 Alagoas";53780;46334;46728;48021;49202;46776;49571;45664;399;1392;42520;43321;43778;40049;51090;34363;9477;46944;2622;74761;37002;32380;35129;881303
"28 Sergipe";33253;33938;29770;28838;31281;29262;30999;28703;6;350;26372;26470;26209;22889;30705;23168;280;29294;1570;58961;21461;15390;19990;549159
"29 Bahia";166031;150277;157028;153798;157142;151771;165128;153801;24;135854;142920;137774;142696;112583;159961;125828;9736;151808;6648;363414;120266;65557;103656;3033701
"31 Minas Gerais";251347;226630;245543;243531;253378;242269;250423;241515;109;236242;230149;223995;226650;206757;245300;214182;23648;242644;8162;842660;205177;114784;182587;5157682
"32 Espírito Santo";53274;48932;49762;47700;55635;47728;51153;48359;90;39415;47213;47261;43409;40868;50938;42421;3848;47953;1289;120735;34603;31867;42084;996537
"33 Rio de Janeiro";229546;178067;194886;191304;204881;191727;201600;190527;210;101840;177312;159440;154292;146353;217554;153222;19321;192377;10816;234271;127064;97443;130209;3504262
"35 São Paulo";594669;530086;546797;527388;591826;540838;566231;546801;2722;353112;498443;480974;482746;447507;542486;488599;220883;542883;19790;1378925;408630;247017;328208;10887561
"41 Paraná";146322;100960;137074;139108;152118;136044;139664;136007;67;116999;136800;132391;135353;121580;138564;134591;97696;136328;4703;492850;98940;68301;106824;3009284
"42 Santa Catarina";87194;76723;88112;87791;98659;86753;86028;87036;122;56438;82488;79481;81626;77855;87185;79272;65174;86934;2278;276916;68118;48910;63717;1854810
"43 Rio Grande do Sul";125517;105760;125600;114823;126414;117878;125982;118883;630;82523;118322;113805;108390;107720;125193;117766;96893;118201;4668;348478;98390;66503;88139;2556478
"50 Mato Grosso do Sul";45618;43219;40753;39956;40604;39815;42844;40311;70;38051;38827;37537;37588;42673;44167;41273;33268;40094;1479;79357;36408;26724;29661;860297
"51 Mato Grosso";56181;51641;49070;47795;48896;47819;52100;48369;75;45739;44968;42593;43367;37940;48592;43053;32752;47856;2012;118851;38356;26779;34141;1008945
"52 Goiás";88978;75259;83773;83156;86779;79309;86909;80976;78;74680;77517;76854;78157;67900;83381;73008;56554;79577;4223;191777;59648;36923;61338;1686754
"53 Distrito Federal";38973;49072;37680;38653;37832;36130;38709;36114;42;36506;37104;33845;36318;30874;37690;38427;35848;36466;2921;126145;32390;24113;27822;849674
"Total";2789273;2475488;2561930;2497445;2651880;2486063;2666835;2516533;5371;1648260;2345053;2283717;2275442;2052164;2622897;2183221;926437;2492050;107262;6132388;1926224;1342030;1799803;50787766
